Designator,Mid X,Mid Y,Rotation,Layer
J1,40.275,-39.0,270.0,bottom
J10,36.4,-90.0,180.0,bottom
J2,14.81,-12.69,270.0,top
J3,14.81,-15.23,270.0,top
J4,48.275,-39.0,270.0,bottom
J5,73.6,-90.0,180.0,bottom
J7,14.81,-17.77,270.0,top
J8,14.81,-20.31,270.0,top
M1,5.0,-105.0,0.0,top
M10,21.5,-97.0,90.0,top
M11,51.0,-16.0,0.0,top
M12,45.0,-16.0,0.0,top
M13,30.0,-83.0,90.0,top
M14,30.0,-97.0,90.0,top
M15,80.0,-83.0,90.0,top
M16,80.0,-97.0,90.0,top
M17,88.5,-97.0,90.0,top
M18,88.5,-83.0,90.0,top
M2,105.0,-5.0,0.0,top
M3,105.0,-105.0,0.0,top
M4,55.0,-5.0,0.0,top
M6,105.0,-55.0,0.0,top
M7,5.0,-55.0,0.0,top
M9,21.5,-83.0,90.0,top
R1,38.4,-57.3,180.0,bottom
R10,38.4,-52.2,180.0,bottom
R14,47.2,-50.9,90.0,bottom
R15,44.7,-50.9,90.0,bottom
R16,52.2,-50.9,270.0,bottom
R17,49.7,-50.9,90.0,bottom
R2,38.4,-54.8,180.0,bottom
R3,33.1,-54.525,270.0,bottom
R9,38.4,-49.7,180.0,bottom
