Designator,Mid X,Mid Y,Rotation,Layer
J10,-40.24,7.19,270.0,bottom
J2,-15.12,29.5,270.0,top
J3,-15.12,26.96,270.0,top
J4,-28.47,29.5,90.0,top
J5,9.76,7.19,270.0,bottom
J6,-36.47,29.5,90.0,top
J7,-15.12,24.42,270.0,top
J8,-15.12,21.88,270.0,top
M1,-58.97,-47.81,0.0,top
M10,-44.47,-20.81,0.0,top
M11,0.28,27.19,0.0,top
M12,-6.72,27.19,0.0,top
M13,-31.47,-10.81,0.0,top
M14,-31.47,-20.81,0.0,top
M15,3.53,-10.81,0.0,top
M16,3.53,-20.81,0.0,top
M17,16.53,-10.81,0.0,top
M18,16.53,-20.81,0.0,top
M2,31.03,42.19,0.0,top
M3,31.03,-47.81,0.0,top
M4,-13.97,42.19,0.0,top
M5,-58.97,42.19,0.0,top
M6,31.03,-2.81,0.0,top
M7,-58.97,-2.81,0.0,top
M8,-13.97,-47.81,0.0,top
M9,-44.47,-10.81,0.0,top
R1,-26.9854,4.3866,270.0,bottom
R10,-10.4594,-3.9324,90.0,bottom
R11,-13.982,-3.907,90.0,bottom
R12,-20.9482,-3.9324,90.0,bottom
R13,-27.9426,-3.9202,90.0,bottom
R14,-12.4792,-14.3596,270.0,bottom
R15,-9.4848,-14.3464,270.0,bottom
R16,-18.4764,-14.3718,90.0,bottom
R17,-15.482,-14.3464,90.0,bottom
R2,-21.9562,4.3988,270.0,bottom
R3,-16.4698,4.3988,270.0,bottom
R4,-11.466,4.3988,270.0,bottom
R5,-5.9542,4.3988,270.0,bottom
R6,-0.9504,4.3988,270.0,bottom
R7,-24.4708,-3.9324,90.0,bottom
R8,-3.45,-3.92,90.0,bottom
R9,-6.9622,-3.907,90.0,bottom
